slug,name,domain,category,ycBatch,description,source
flutterwave,Flutterwave,flutterwave.com,Payments,S16,Helping businesses make and accept payments from anywhere in Africa.,yc-s16
marketforce,MarketForce,marketforce.io,Retail,S20,The SuperApp for neighbourhood merchants in Africa.,yc-s20
ironclad,Ironclad,ironcladapp.com,Legal,S15,Digital contracting platform for legal teams.,yc-s15
front,Front,front.com,Productivity,S14,Customer communications hub for building strong relationships,yc-s14
khatabook,Khatabook,khatabook.com,Payments,S18,Manage your ledgers and avail Financial Services like Lending on your…,yc-s18
simetrik,Simetrik,simetrik.com,Finance and Accounting,W18,No code enterprise SaaS for financial control automation.,yc-w18
magic,Magic,getmagic.com,B2B,W15,Extremely talented assistants for busy people,yc-w15
panorama-education,Panorama Education,panoramaed.com,Education,S13,Improving education for every student.,yc-s13
skydropx,SkydropX,skydropx.com,Supply Chain and Logistics,S18,Logistic Management System for E-commerce & Retail in Mexico.,yc-s18
submittable,Submittable,submittable.com,B2B,S12,"The best way to launch, manage and measure social impact programs",yc-s12
remedial-health,Remedial Health,remedial.health,Healthcare Services,W22,B2B E-commerce & Fintech platform for Pharmacies & Hospitals in Africa,yc-w22
shipblu,ShipBlu,shipblu.com,Supply Chain and Logistics,S21,Amazon Level Logistics for eCommerce Companies in MENA.,yc-s21
nabis,Nabis,nabis.com,Supply Chain and Logistics,W19,Nabis is the largest licensed cannabis wholesale platform.,yc-w19
ajaib,Ajaib,ajaib.co.id,Banking and Exchange,S18,Consumer fintech for Indonesia,yc-s18
ubits,UBITS,ubits.com,Human Resources,S18,Learning Hub for companies in Latam,yc-s18
retool,Retool,retool.com,Productivity,W17,Build internal tools fast.,yc-w17
people-ai,People.ai,people.ai,Sales,S16,Harnesses business activity to unlock growth.,yc-s16
sendbird,Sendbird,sendbird.com,"Engineering, Product and Design",W16,"The AI agent that doesn’t just support, it delights.",yc-w16
hackerrank,HackerRank,hackerrank.com,Recruiting and Talent,S11,Change the world to value skills over pedigree,yc-s11
jerry-inc,Jerry,getjerry.com,Insurance,S17,Jerry makes it really easy to save time and money on car expenses.,yc-s17
snapdocs,Snapdocs,snapdocs.com,Housing and Real Estate,W14,digital mortgage closing,yc-w14
captivateiq,CaptivateIQ,captivateiq.com,Finance and Accounting,W18,"Agile commission software to design, deploy & adapt commission plans.",yc-w18
drip-capital,Drip Capital,dripcapital.com,Fintech,S15,Digital trade finance and B2B commerce company,yc-s15
humand,Humand,humand.co,Human Resources,W22,All-in-one app for internal communication and HR,yc-w22
yummy-inc,Yummy,yummysuperapp.com,Consumer,S21,The everything app for LATAM,yc-s21
cyble,Cyble,cyble.com,Security,W21,"Cyble - World’s First Intelligence-Driven, AI-Native Security…",yc-w21
teleport,Teleport,goteleport.com,Infrastructure,S15,The Infrastructure Identity Company,yc-s15
vendease,Vendease,vendease.com,Supply Chain and Logistics,W21,Where restaurants in Africa buy food supplies,yc-w21
djamo,Djamo,djamo.com,Banking and Exchange,W21,Challenger Bank for consumers in French speaking Africa.,yc-w21
bukuwarung,BukuWarung,bukuwarung.com,Payments,S20,"Accounting, Payments & Credit app for 60M micro-businesses in…",yc-s20
trm-labs,TRM Labs,trmlabs.com,Security,S19,TRM is building a safer financial system for billions of people.,yc-s19
luciq,Luciq (formerly Instabug),luciq.ai,"Engineering, Product and Design",W16,Agentic Observability Platform for Mobile,yc-w16
indinero,inDinero,indinero.com,Finance and Accounting,S10,Financial dashboard for businesses.,yc-s10
bitrise,Bitrise,bitrise.io,Infrastructure,W17,Hosted Continuous Integration and Delivery for mobile apps,yc-w17
observe-ai,Observe.AI,observe.ai,Sales,W18,Contact center AI platform.,yc-w18
thndr,Thndr,thndr.app,Fintech,S20,Investment platform for MENA individuals,yc-s20
qventus,Qventus,qventus.com,Healthcare IT,W15,We automate operations for hospitals and health systems,yc-w15
advantage-club,Advantage Club,advantageclub.co,Human Resources,S21,Global platform for employee engagement with rewards&flexible benefits,yc-s21
paymongo,PayMongo,paymongo.com,Payments,S19,Modern online payments for the Philippines,yc-s19
influxdata,InfluxData,influxdata.com,Infrastructure,W13,The platform for building and operating time series applications.,yc-w13
biorender,BioRender,biorender.com,B2B,W18,'Figma/Canva for scientists’,yc-w18
onebrief,Onebrief,onebrief.com,B2B,S21,Onebrief makes military headquarters run seamlessly,yc-s21
marqvision,MarqVision,marqvision.com,B2B,S21,IP operating software for brands and content companies,yc-s21
spenmo,Spenmo,summitglobal.com,Banking and Exchange,S20,"A spend management software that provides businesses visibility,…",yc-s20
hightouch,Hightouch,hightouch.com,Marketing,S19,The leading Composable CDP and AI Decisioning platform,yc-s19
gem,Gem,gem.com,Recruiting and Talent,S17,Talent engagement platform,yc-s17
nomba,Nomba,nomba.com,Payments,W17,Banking and payments for businesses in Africa,yc-w17
salt-security,Salt Security,salt.security,Security,W16,Protects organizations from getting breached through their APIs.,yc-w16
getaccept,GetAccept,getaccept.com,Sales,W16,Close deals faster. Digitally.,yc-w16
plate-iq,Plate IQ,plateiq.com,Payments,S15,Automated Accounts Payable,yc-s15
fountain,Fountain,fountain.com,Recruiting and Talent,S15,High volume hiring made simple,yc-s15
partnerstack,PartnerStack,partnerstack.com,Marketing,S15,PartnerStack is a full stack solution for partnerships.,yc-s15
apollo,Apollo,apollographql.com,Infrastructure,S11,Apollo helps engineering teams accelerate delivery,yc-s11
jasper-ai,Jasper.ai,jasper.ai,B2B,W18,Jasper is a leader in creating content using Artificial Intelligence,yc-w18
lively-inc,"Lively, Inc.",livelyme.com,Healthcare IT,W17,Modern employee benefits & health savings account (HSA) provider,yc-w17
ontop,Ontop,getontop.com,B2B,W21,Simplifying hiring and payments for the global workforce,yc-w21
justo,Justo,getjusto.com,Supply Chain and Logistics,S20,Helps restaurants take online orders directly from customers,yc-s20
vouch,Vouch,vouch.us,Insurance,S19,Insurance and risk management tools for startups and growth-stage…,yc-s19
lezzoo,Lezzoo,lezzoo.com,Food and Beverage,W19,Lezzoo is an on-demand delivery Superapp for Iraq.,yc-w19
prolific,Prolific,prolific.com,B2B,S19,"Making diverse, high-quality data easily available to anyone, anywhere",yc-s19
postscript,Postscript,postscript.io,Marketing,W19,The SMS revenue platform for e-commerce merchants,yc-w19
electroneek,ElectroNeek,electroneek.com,B2B,W20,Robotic Process Automation and Document Processing Platform,yc-w20
mezmo,Mezmo,mezmo.com,Infrastructure,W15,Observability platform to control all of your log data,yc-w15
remi,Remi,remihq.com,Real Estate and Construction,W22,"Simplifying roofing for homeowners, roofers and enterprises.",yc-w22
pave-2,Pave,pave.com,Recruiting and Talent,S20,"Plan, communicate, and benchmark your compensation in real-time.",yc-s20
verto,Verto,vertofx.com,Payments,W19,Cross-Border Payments and FX Simplified,yc-w19
bulk-mro-industrial-supply,Bulk MRO Industrial Supply,bulkmro.com,Supply Chain and Logistics,W17,Full Stack Fintech and Supply Chain Platform for Global Trade,yc-w17
nala,NALA,nala.com,Banking and Exchange,W19,Building Payments for the Next Billion.,yc-w19
alaan,Alaan,alaan.com,Payments,W23,Modern finance platform for the Middle East,yc-w23
fondeadora,Fondeadora,fondeadora.com,Banking and Exchange,W20,We are connecting every single Mexican to the financial system.,yc-w20
modern-treasury,Modern Treasury,moderntreasury.com,Finance and Accounting,S18,Payment operations tools for money movement.,yc-s18
routable,Routable,routable.com,Finance and Accounting,S17,Simplifying payouts at scale,yc-s17
tempo,Tempo,tempo.fit,Consumer Health and Wellness,W15,Live home fitness training powered by computer vision.,yc-w15
taktile,Taktile,taktile.com,B2B,S20,Empowering decision makers to make smarter and safer decisions at…,yc-s20
pide-directo,Pide Directo,pidedirecto.mx,Supply Chain and Logistics,S21,One-stop-shop for restaurants to operate and grow their business.,yc-s21
toku,Toku,trytoku.com,Finance and Accounting,S21,Account Receivables Platform for Latin American Enterprises,yc-s21
baubap,Baubap,baubap.com,Credit and Lending,S21,Smart micro financing for everyone,yc-s21
infeedo-ai,inFeedo AI,infeedo.ai,Human Resources,S20,"AI to engage employees, predict attrition and automate HR/IT support",yc-s20
riot,Riot,tryriot.com,Security,W20,Cybersecurity awareness for fast growing companies,yc-w20
posthog,PostHog,posthog.com,Analytics,W20,"The single platform to analyze, test, observe, and deploy new features",yc-w20
inevent,InEvent,inevent.com,Marketing,S19,"In-Person, Hybrid and Virtual Event Management Software",yc-s19
colab,CoLab,colabsoftware.com,"Engineering, Product and Design",S19,Human and AI design review for hardware,yc-s19
alpaca,Alpaca,alpaca.markets,Banking and Exchange,W19,API-first stock and crypto brokerage platform,yc-w19
canary-technologies,Canary Technologies,canarytechnologies.com,Operations,S18,Modernizing the hospitality tech stack.,yc-s18
nuvocargo,Nuvocargo,nuvocargo.com,Supply Chain and Logistics,W18,Radically simplifying cross-border logistics between USA & Mexico,yc-w18
standard-ai,Standard AI,standard.ai,Retail,S17,AI-powered checkout for retail.,yc-s17
upkeep,UpKeep,upkeep.com,Office Management,W17,Mobile-first software for maintenance teams.,yc-w17
onesignal,OneSignal,onesignal.com,Marketing,S11,Engage customers through personalized omni-channel messaging,yc-s11
bitmovin,Bitmovin,bitmovin.com,Infrastructure,S15,Powers OTT online video providers with video developer tools.,yc-s15
karbon-card,Karbon Card,karboncard.com,Credit and Lending,S21,Corporate Card solution for Indian businesses,yc-s21
gojom,GoJom,gojom.com,Real Estate and Construction,W22,One-stop-shop for Real Estate Solutions.,yc-w22
zeplin,Zeplin,zeplin.io,"Engineering, Product and Design",S15,Deliver on the Promise of Design,yc-s15
plivo,Plivo,plivo.com,B2B,S12,"Voice AI Agents for customer engagement, including WhatsApp, SMS &…",yc-s12
lapzo,lapzo,lapzo.com,Human Resources,S21,Lattice for Latam with personalized learning and development,yc-s21
fieldguide,Fieldguide,fieldguide.io,Productivity,S20,Vertical AI for Audit & Advisory Firms,yc-s20
conta-simples,Conta Simples,contasimples.com,Banking and Exchange,S20,All-in-one financial platform for latam Startups and SMBs.,yc-s20
middesk,Middesk,middesk.com,Operations,W19,We make it easier for B2B companies to transact with one another,yc-w19
torch,Torch,torch.io,Recruiting and Talent,W18,,yc-w18
nimblerx,NimbleRx,nimblerx.com,Consumer Health and Wellness,W15,On-demand prescription delivery.,yc-w15
tremendous,Tremendous,tremendous.com,Payments,W11,"How businesses send money to people at scale. Fast, free, global.",yc-w11
klarity,Klarity,klarity.ai,Productivity,S18,"Klarity: Your Always-On AI Analyst, Advisor & Coach",yc-s18
dealls-jobs-and-mentoring,Dealls – Jobs & Mentoring,dealls.com,Recruiting and Talent,W22,Indonesia's #1 ATS & Job Portal to match top talents & companies,yc-w22
daily,Daily,daily.co,Productivity,W16,Conversational Voice and Multimodal AI built with Open Source,yc-w16
abacum,Abacum,abacum.ai,Finance and Accounting,W21,The AI-native FP&A platform that helps Finance teams drive business…,yc-w21
openphone,Quo (fka OpenPhone),quo.com,Operations,S18,The all-in-one business phone for teams.,yc-s18
mattermost,Mattermost,mattermost.com,Productivity,S12,Secure Collaboration for Technical Teams,yc-s12
zuddl,Zuddl,zuddl.com,B2B,S20,Zuddl is a modular platform for events and webinars that helps event…,yc-s20
supabase,Supabase,supabase.com,Infrastructure,S20,Build in a weekend. Scale to millions.,yc-s20
freshpaint,Freshpaint,freshpaint.io,Infrastructure,S19,"Customer data collection, safeguarding, & activation for healthcare",yc-s19
short-story,Short Story,shortstorybox.com,Apparel and Cosmetics,S19,Modern ecommerce for petite women,yc-s19
givecampus,GiveCampus,go.givecampus.com,Education,S15,The fundraising platform for schools.,yc-s15
close,Close,close.com,Sales,W11,CRM and sales automation tools for startups and SMBs,yc-w11
pibit-ai,Pibit.ai,pibit.ai,Insurance,W21,The fastest path from submission to better decisions.,yc-w21
numida,Numida,numida.com,Credit and Lending,W22,Working capital for African micro businesses,yc-w22
quicknode,Quicknode,quicknode.com,Infrastructure,W21,Tools & infra to build and scale high-quality blockchain applications.,yc-w21
deepgram,Deepgram,deepgram.com,"Engineering, Product and Design",W16,Building foundational AI for speech transcription and understanding.,yc-w16
eden-farm,Eden Farm,edenfarm.id,Supply Chain and Logistics,S19,Delivering fruits and vegetables to multi-segment restaurants and…,yc-s19
gotrade,Gotrade,heygotrade.com,Consumer Finance,S19,Robinhood for Southeast Asia (SEA),yc-s19
nanonets,NanoNets,nanonets.com,"Engineering, Product and Design",W17,Automatic Data Extraction,yc-w17
dolarapp,DolarApp,dolarapp.com,Fintech,S21,The Financial App for affluent consumers in Latin America.,yc-s21
latent-space,Latent Space,latentspace.sh,Consumer,S22,Applied AI for The Emerging Economies,yc-s22
careerist,Careerist,careerist.com,Education,S21,Learning platform for job seekers with job applications automation,yc-s21
chari,Chari,chari.com,Food and Beverage,S21,B2B e-commerce and fintech platform for traditional proximity stores,yc-s21
alokai,Alokai,alokai.com,"Engineering, Product and Design",W21,Frontend Platform for eCommerce,yc-w21
gromo,GroMo,gromo.in,Fintech,W21,App for independent agents to sell financial products in India,yc-w21
encord,Encord,encord.com,Infrastructure,W21,Building the data backbone for the (artificial) intelligence…,yc-w21
roboflow,Roboflow,roboflow.com,"Engineering, Product and Design",S20,🖼️ Give your software the sense of sight.,yc-s20
henry,HENRY,soyhenry.com,Recruiting and Talent,S20,We train AI engineers and connect them with companies.,yc-s20
photoroom,Photoroom,photoroom.com,Content,S20,Power commerce photography with generative AI,yc-s20
belvo,Belvo,belvo.com,Banking and Exchange,W20,Open Finance API platform for Latam.,yc-w20
cortex,Cortex,cortex.io,Infrastructure,W20,Cortex is the Internal Developer Portal eliminating “developer tax”…,yc-w20
fintual,Fintual,fintual.com,Consumer Finance,S18,Wealth manager,yc-s18
runa,Runa,runahr.com,Human Resources,W18,Automating payroll for Latin America.,yc-w18
treasury-prime,Treasury Prime,treasuryprime.com,Banking and Exchange,W18,Embedded banking software platform and marketplace,yc-w18
classdojo,ClassDojo,classdojo.com,Education,S12,"Communication app for K-8 teachers, kids, and families",yc-s12
miso,Miso,miso.kr,Home and Personal,S16,We make booking services as easy as buying products online.,yc-s16
nova-credit,Nova Credit,novacredit.com,Credit and Lending,S16,Bridging a world of consumer-permissioned credit data,yc-s16
joy,Joy,withjoy.com,Home and Personal,S16,The platform for all your life events.,yc-s16
tetrascience,TetraScience,tetrascience.com,Healthcare IT,S15,The only R&D data cloud for life sciences,yc-s15
redcarpetup,RedCarpetUp,redcarpetup.com,Consumer Finance,S15,Credit cards for Indians that banks cannot see,yc-s15
picnichealth,PicnicHealth,picnichealth.com,Healthcare,S14,Empowering Patients for Deep Real World Data,yc-s14
true-link,True Link,truelinkfinancial.com,Fintech,S13,Financial Services for Financial Caregivers.,yc-s13
quartzy,Quartzy,quartzy.com,Healthcare IT,S11,Marketplace for life science supplies.,yc-s11
exly,Exly,exlyapp.com,Consumer,W19,"One stop shop for creators to launch, manage & grow their knowledge…",yc-w19
ambient-ai,Ambient.ai,ambient.ai,Security,W17,AI company transforming enterprise physical security to prevent…,yc-w17
mux,Mux,mux.com,Infrastructure,W16,Video infrastructure for developers,yc-w16
gigs,Gigs,gigs.com,"Engineering, Product and Design",W21,Stripe for phone plans.,yc-w21
upequity,UpEquity,upequity.com,Housing and Real Estate,S19,UpEquity gives homebuyers more certainty and power.,yc-s19
clau,Clau,clau.com,Housing and Real Estate,S20,The real estate superapp for Mexico,yc-s20
airbyte,Airbyte,airbyte.com,Infrastructure,W20,Open Data Movement Platform,yc-w20
workpay,Workpay,myworkpay.com,Human Resources,W20,"Payroll, Benefits and HR solutions for local and remote teams.",yc-w20
cityfurnish,Cityfurnish,cityfurnish.com,Home and Personal,W19,Cityfurnish - Commitment-free furniture rentals for a better you!,yc-w19
shogun,Shogun,getshogun.com,"Engineering, Product and Design",W18,Shogun empowers brands to create exceptional ecommerce experience.,yc-w18
hireart,HireArt,hireart.com,Recruiting and Talent,W12,Gives businesses everything needed to hire & manage W2 contractors.,yc-w12
erudifi,ErudiFi,erudifi.com,Credit and Lending,W18,Digital financial services for students in Southeast Asia,yc-w18
ridecell,Ridecell,ridecell.com,B2B,W12,AI for Automotive Leasing and Mobility,yc-w12
chatpay,Hubla,hub.la,Sales,S20,All-in-one platform for creators to sell courses and subscriptions,yc-s20
numeral,Numeral,numeral.com,Finance and Accounting,W23,The AI-native sales tax solution.,yc-w23
voize,voize,voize.de,Productivity,W22,"We build the AI companion for nurses, to create time for care.",yc-w22
aspora,Aspora,aspora.com,Consumer Finance,W22,Single account to manage money across the world,yc-w22
vahan,Vahan,vahan.ai,Recruiting and Talent,S19,AI recruiter for India's massive blue-collar workforce,yc-s19
kunduz,Kunduz,kunduz.com,Education,S18,Kunduz provides instant answers to students' questions and makes…,yc-s18
ledger-investing,Ledger Investing,ledgerinvesting.com,Insurance,W17,Marketplace for insurance securitization.,yc-w17
happyrobot,HappyRobot,happyrobot.ai,Supply Chain and Logistics,S23,Intelligence that runs your operations.,yc-s23
permitflow,PermitFlow,permitflow.com,Construction,W22,Construction's AI Platform,yc-w22
prembly,Prembly (formerly Identitypass),prembly.com,Infrastructure,W22,Identity Verification API for Emerging Markets,yc-w22
rdash,RDash,rdash.io,Infrastructure,W22,AI Powered Construction Management Software,yc-w22
waterplan,Waterplan,waterplan.com,B2B,S21,Water risk mitigation for industrial sites,yc-s21
doublehq,Double,doublehq.com,Finance and Accounting,S21,We make software for bookkeepers.,yc-s21
z1,Z1,z1.app,Consumer Finance,W21,Digital bank for teenagers in LatAm connected to prepaid card,yc-w21
atrato,Atrato,atratopago.com,Payments,W21,Enabling consumers split the cost of purchases without a credit card,yc-w21
borong,borong,borong.com,Retail,W20,borong is a SaaS-enabled marketplace that connects brands like…,yc-w20
fondo,Fondo,fondo.com,Finance and Accounting,W18,"Bookkeeping, tax, & tax credits on autopilot for 1,000+ startups",yc-w18
truora,Truora,truora.com,Operations,W19,Reliable background checks & fraud prevention tools for Latin America.,yc-w19
volley,Volley,volleygames.com,Gaming,W18,"Voice AI games on smart speakers, TVs, and mobile",yc-w18
promise,Promise,promise-pay.com,Government,W18,Better payment systems for governments and the communities they serve.,yc-w18
quantstamp,Quantstamp,quantstamp.com,Security,W18,Security auditing for Web3,yc-w18
pump-co,Pump.co,pump.co,Fintech,S22,The Costco for cloud is here 🔥🔥,yc-s22
rootly,Rootly,rootly.com,Infrastructure,S21,AI-native on-call and incident response carefully crafted to help…,yc-s21
zeroheight,zeroheight,zeroheight.com,"Engineering, Product and Design",S19,The DevOps platform for UX,yc-s19
mashgin,Mashgin,mashgin.com,Retail,W15,Self-Checkout using Computer Vision.,yc-w15
hatch,Hatch,usehatch.ai,Sales,W19,The AI CSR Platform,yc-w19
atob,AtoB,atob.com,Fintech,S20,Modernizing global transportation payments.,yc-s20
corgi-insurance,Corgi Insurance,corgi.insure,Insurance,S24,Corgi is building an AI financial infrastructure company,yc-s24
autone,autone,autone.io,Retail,S22,Inventory management SaaS for Retail & Consumer brands,yc-s22
dimorder,DimOrder,dimorder.com,B2B,W22,Toast for Southeast Asia,yc-w22
prospa,Prospa,getprospa.com,Banking and Exchange,W21,Banking for businesses,yc-w21
seis,Seis,seis.com,Consumer Finance,W22,Banking 100% in Spanish for the 44 million US Spanish speakers,yc-w22
gimo,GIMO,gimo.vn,Credit and Lending,W22,We help underbanked workers get paid before payday,yc-w22
mailmodo,Mailmodo,mailmodo.com,Marketing,S21,No-code email marketing platform to send forms & widgets within emails,yc-s21
meru-com,Meru.com,meru.com,Retail,W21,The one-stop-shop for auto-parts in Mexico.,yc-w21
querypie-ai,QueryPie AI,querypie.com,B2B,W20,QueryPie AIP - Enterprise Ready Agentic AI Platform,yc-w20
skio,Skio,skio.com,Marketing,S20,Subscriptions for Shopify,yc-s20
stark-bank,STARK BANK,starkbank.com,Banking and Exchange,W20,Challenger bank for enterprises,yc-w20
ramani,Ramani,ramani.io,Retail,W20,We're building financial infrastructure for Africa's supply chains,yc-w20
binks,Binks,getbinks.com,Apparel and Cosmetics,S19,"A zero inventory, zero returns factory-to-consumer apparel company",yc-s19
community-phone-company,Community Phone Company,communityphone.org,Home and Personal,W19,The best phone for communities in America,yc-w19
golinks,GoLinks,golinks.io,Productivity,W19,"Intuitive, easy-to-remember short links - powered by AI.",yc-w19
okcredit,OkCredit,okcredit.in,Payments,S18,Simple and secure bookkeeping for Indian businesses.,yc-s18
duffel,Duffel,duffel.com,"Travel, Leisure and Tourism",S18,The complete toolkit to sell travel.,yc-s18
easol,Easol,easol.com,B2B,S18,Shopify for experiences,yc-s18
revenuecat,RevenueCat,revenuecat.com,"Engineering, Product and Design",S18,A simple API for managing in-app subscriptions,yc-s18
cointracker,CoinTracker,cointracker.com,Fintech,W18,The gold standard in cryptocurrency portfolio tracking and taxes,yc-w18
veryfi-inc,"Veryfi, Inc.",veryfi.com,B2B,W17,APIs to Transform Documents into Structured Data,yc-w17
poll-everywhere,Poll Everywhere,polleverywhere.com,Analytics,S08,Interactive meetings and presentations,yc-s08
oxygen,Oxygen,getoxygen.com,Consumer Finance,S18,A leading digital bank in the US offering personal and business…,yc-s18
long-term-stock-exchange,Long Term Stock Exchange,ltse.com,Banking and Exchange,S17,LTSE is an ecosystem for visionary business.,yc-s17
numerion-labs,Numerion Labs,numerionlabs.ai,Drug Discovery and Delivery,W15,Artificial intelligence for drug discovery.,yc-w15
kredi,Kredi,kredi.mx,Credit and Lending,W21,Rocket Mortgage for LatAm.,yc-w21
legora,Legora (formerly Leya),legora.com,Legal,W24,The AI workspace for lawyers,yc-w24
hockeystack,HockeyStack,hockeystack.com,Sales,S23,The operating system for inbound B2B revenue,yc-s23
amenli,Amenli,amenli.com,Insurance,S21,Offers insurance to customers in a convenient & transparent way,yc-s21
nomod,Nomod,nomod.com,Payments,S21,The UAE’s leading small business payments platform,yc-s21
motion,Motion,usemotion.com,Productivity,W20,The only work management platform for both Human and AI Employees,yc-w20
superb-ai,Superb AI,superb-ai.com,"Engineering, Product and Design",W19,Superb AI provides end-to-end computer vision MLOps platform,yc-w19
prodigal,Prodigal,prodigaltech.com,Credit and Lending,S18,Lending Intelligence Software,yc-s18
replit,Replit,replit.com,"Engineering, Product and Design",W18,Collaborative in-browser IDE,yc-w18
assemblyai,AssemblyAI,assemblyai.com,Infrastructure,S17,The best way to build Voice AI apps,yc-s17
mason,Mason,bymason.com,B2B,W16,Mason is the fastest way to take smart devices from idea to end user,yc-w16
hive,Hive,hive.co,Marketing,S14,"Marketing automation for event promoters (email, sms, ads, CRM)",yc-s14
padlet,Padlet,padlet.com,Productivity,W13,Papyrus → Parchment → Paper → Padlet,yc-w13
hona,Hona,hona.com,Legal,W23,The Domino's Pizza Tracker for lawyers and their clients.,yc-w23
verihubs,Verihubs,verihubs.com,"Engineering, Product and Design",S21,AI-powered Deepfake Detection,yc-s21
finch,Finch,tryfinch.com,"Engineering, Product and Design",S20,Finch is the universal API for payroll and HR,yc-s20
nexu,Nexu,nexu.mx,Credit and Lending,W20,Financing platform for LatAm car dealerships.,yc-w20
iotflows-inc,IoTFlows Inc,iotflows.com,Productivity,W22,Plug-and-play AI platform with sensors and dashboards that makes…,yc-w22
savein,SaveIN,savein.money,Consumer Health and Wellness,W22,Making private healthcare in India accessible and affordable,yc-w22
datlo,Datlo,datlo.com,Analytics,S21,Datlo helps companies increase sales and expand through data,yc-s21
swipe-2,Swipe,getswipe.in,Finance and Accounting,S21,Super AI Accountant for SMBs,yc-s21
cartpanda,Cartpanda,cartpanda.com,Sales,S21,Global online sales platform,yc-s21
anakin,Anakin,anakin.company,Retail,S21,We automate pricing for eCommerce and on-demand service companies,yc-s21
mindee,Mindee,mindee.com,"Engineering, Product and Design",W21,AI Document Understanding API,yc-w21
fintoc,Fintoc,fintoc.com,Payments,W21,Account-to-Account payments in Mexico and Chile.,yc-w21
treinta,Treinta,treinta.co,Productivity,W21,Software and AI tools for SMBs in the US and Latin America,yc-w21
popl,Popl,popl.co,B2B,W21,Your Complete In-Person GTM Platform,yc-w21
ready,Ready,ready.net,B2B,S20,Collaborative platform for optimizing regulated utilities such as…,yc-s20
decentro,Decentro,decentro.tech,"Engineering, Product and Design",S20,API Platform for Banking Integrations (Plaid for India and APAC),yc-s20
